สำนัก,หลักสูตร
สำนักวิชาสถาปัตยกรรมศาสตร์และการออกแบบ,การออกแบบภายใน
สำนักวิชาเทคโนโลยีการเกษตรและอุตสาหกรรมอาหาร,เกษตรศาสตร์และนวัตกรรม(พืช)
สำนักวิชาเทคโนโลยีการเกษตรและอุตสาหกรรมอาหาร,เกษตรศาสตร์และนวัตกรรม(สัตวศาสตร์)
สำนักวิชาสารสนเทศศาสตร์,ดิจิทัลคอนเทนต์และสื่อ
สำนักวิชาสารสนเทศศาสตร์,"เทคโนโลยีมัลติมีเดีย แอนิเมชัน และเกม"
สำนักวิชาสารสนเทศศาสตร์,เทคโนโลยีสารสนเทศและนวัตกรรมดิจิทัล
สำนักวิชาสารสนเทศศาสตร์,นวัตกรรมสารสนเทศศาสตร์ทางการแพทย์
สำนักวิชานิติศาสตร์,นิติศาสตร์
สำนักวิชาสารสนเทศศาสตร์,นิเทศศาสตร์ดิจิทัล
สำนักวิชาการบัญชีและการเงิน,บริหารธุรกิจ(การจัดการธุรกิจการเงินดิจิทัล)
สำนักวิชาการจัดการ,บริหารธุรกิจ(การจัดการโลจิสติกส์)
สำนักวิชาการจัดการ,บริหารธุรกิจ(การตลาดดิจิทัลและการสร้างแบรนด์)
สำนักวิชาการบัญชีและการเงิน,บัญชี
สำนักวิชาศิลปศาสตร์,ภาษาจีน
สำนักวิชาศิลปศาสตร์,ภาษาไทย
สำนักวิชาศิลปศาสตร์,ภาษาอังกฤษนานาชาติ (ทวิภาษา)
สำนักวิชาศิลปศาสตร์,ภาษาอังกฤษ
สำนักวิชารัฐศาสตร์และรัฐประศาสนศาสตร์,รัฐประศาสนศาสตร์
สำนักวิชารัฐศาสตร์และรัฐประศาสนศาสตร์,รัฐศาสตร์(การเมืองการปกครอง)
สำนักวิชารัฐศาสตร์และรัฐประศาสนศาสตร์,รัฐศาสตร์(ความสัมพันธ์ระหว่างประเทศ)
สำนักวิชารัฐศาสตร์และรัฐประศาสนศาสตร์,รัฐศาสตร์(อาเซียนศึกษา)
สำนักวิชาวิทยาศาสตร์,วิทยาศาสตร์
สำนักวิชาแพทยศาสตร์,วิทยาศาสตร์การกีฬา
สำนักวิชาวิทยาศาสตร์,วิทยาศาสตร์ทางทะเล
สำนักวิชาเทคโนโลยีการเกษตรและอุตสาหกรรมอาหาร,วิทยาศาสตร์อาหารและนวัตกรรม
สำนักวิชาวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมคอมพิวเตอร์และปัญญาประดิษฐ์
สำนักวิชาวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมเคมีและเคมีเภสัชกรรม
สำนักวิชาวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมเครื่องกลและหุ่นยนต์
สำนักวิชาวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมปิโตรเคมีและพอลิเมอร์
สำนักวิชาวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมไฟฟ้า
สำนักวิชาวิศวกรรมศาสตร์และเทคโนโลยี,วิศวกรรมโยธา
สำนักวิชาการจัดการ,ศิลปะการประกอบอาหารอย่างมืออาชีพ
สำนักวิชาการบัญชีและการเงิน,เศรษฐศาสตร์
สำนักวิชาสถาปัตยกรรมศาสตร์และการออกแบบ,สถาปัตยกรรม
สำนักวิชาสาธารณสุขศาสตร์,อนามัยสิ่งแวดล้อม
สำนักวิชาสาธารณสุขศาสตร์,อาชีวอนามัยและความปลอดภัย
สำนักวิชาการจัดการ,อุตสาหกรรมการบริการ
